Año;Clave_Ent;Entidad;Cve. Municipio;Municipio;Bien jurídico afectado;Tipo de delito;Subtipo de delito;Modalidad;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2015;1;Aguascalientes;1002;Asientos;La libertad y la seguridad sexual;Abuso sexual;Abuso sexual;Abuso sexual;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;La libertad y la seguridad sexual;Acoso sexual;Acoso sexual;Acoso sexual;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;La libertad y la seguridad sexual;Hostigamiento sexual;Hostigamiento sexual;Hostigamiento sexual;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;La libertad y la seguridad sexual;Violación simple;Violación simple;Violación simple;1;0;0;0;0;1;0;1;0;1;0;0
2015;1;Aguascalientes;1002;Asientos;La libertad y la seguridad sexual;Violación equiparada;Violación equiparada;Violación equiparada;0;0;0;0;0;0;0;0;1;0;0;0
2015;1;Aguascalientes;1002;Asientos;La libertad y la seguridad sexual;Incesto;Incesto;Incesto;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;La libertad y la seguridad sexual;Otros delitos que atentan contra la libertad y la seguridad sexual;Otros delitos que atentan contra la libertad y la seguridad sexual;Otros delitos que atentan contra la libertad y la seguridad sexual;0;1;1;0;0;0;0;1;1;0;0;0
2015;1;Aguascalientes;1002;Asientos;El patrimonio;Robo;Robo a casa habitación;Con violencia;0;0;0;0;0;0;0;0;0;1;0;0
2015;1;Aguascalientes;1002;Asientos;El patrimonio;Robo;Robo a casa habitación;Sin violencia;1;0;0;0;1;3;0;6;0;2;0;0
2015;1;Aguascalientes;1002;Asientos;El patrimonio;Robo;Robo de vehículo automotor;Robo de coche de 4 ruedas Con violencia;0;0;0;0;0;0;0;0;0;1;0;1
2015;1;Aguascalientes;1002;Asientos;El patrimonio;Robo;Robo de vehículo automotor;Robo de coche de 4 ruedas Sin violencia;0;0;0;0;0;1;2;0;1;1;1;3
2015;1;Aguascalientes;1002;Asientos;El patrimonio;Robo;Robo de vehículo automotor;Robo de motocicleta Con violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;El patrimonio;Robo;Robo de vehículo automotor;Robo de motocicleta Sin violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;El patrimonio;Robo;Robo de vehículo automotor;Robo de embarcaciones pequeñas y grandes Con violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;El patrimonio;Robo;Robo de vehículo automotor;Robo de embarcaciones pequeñas y grandes Sin violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;El patrimonio;Robo;Robo de autopartes;Con violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;El patrimonio;Robo;Robo de autopartes;Sin violencia;0;0;1;0;0;0;0;0;0;0;3;0
2015;1;Aguascalientes;1002;Asientos;El patrimonio;Robo;Robo a transportista;Con violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;El patrimonio;Robo;Robo a transportista;Sin violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;El patrimonio;Robo;Robo a transeúnte en vía pública;Con violencia;0;0;0;0;0;0;0;0;0;0;0;0
